COMPANY NAME,CITY,STATE,OWNER/MAKER
5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
9th and Larkin,San Francisco,California,Lan Phan
Acalli,Gretna,Louisiana,Carol Morse
Adams Chocolate,Nyack,New York,Adam Berrios
Affinity,Sugar Land,Texas,Chris Campbell
Aggie Chocolate Factory,Logan,Utah,"Silvana Martini, Steve Shelton"
Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
Amano,Orem,Utah,Art Pollard
Anahata,Edison,New Jersey,Melanie Flores
Animas,Durango,Colorado,Carley Snider
Appalachian,Shepherdstown,West Virginia,John Meyer
Arete,Spencer,Tennessee,David and Leslie Senk
Armstrong Chocolate,Chico,California,Matt Armstrong
Askinosie,Springfield,Missouri,Shawn Askinosie
Bankston,Spring Lake Heights,New Jersey,Tom and Leah Barlow
Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
Batch Craft,Rock Hill,South Carolina,Tamara and Zan
Beehive,Fort Collins,Colorado,Ian Horvath
Belle Chocolate,Chattonooga,Tennessee,Brendan Patrick
Bellflower,Seattle,Washington,Will Dixon and Callie Neylan
Bisou,Berkeley,California,"Tracey Britton, Eli Curtis"
Bitte Chocolate,Charleston,South Carolina,Michael Hoffman
Bittersweet Origins (closed),Oakland,California,Seneca Klassen
Bixby & Co.,Rockland,Maine,Kate McAleer
Black Mountain,Swamanoa,North Carolina,Brent Peters
Blue Bandana (closed),Burlington,Vermont,Eric Lampman
Blue Scorcher,Astoria,Oregon,Peggy Bondurant
BOHO,Springfield,Massachusetts,Charlie Burke
Bowler Man,Michigan City,Indiana,Michael and Amanda Joyner
Brasstown aka It's Chocolate,Winston-Salem,North Carolina,"Rom Still, Barbara Price"
Brazen,Phoenix,Arizona,Case Coniglio
Breeze Mill (closed),New York,New York,Ari Nadin
Bronx Grrl Chocolate,New York,New York,Regina Monaco
Burnt Fork Bend,Stevensville,Montana,Jennifer Wicke
barcacaochocolat,Schiller Park,Illinois,Matthew Schreiner
Cacao Atlanta,Atlanta,Georgia,Kristen Hard
Cacao Gonzalez,Hunters Creek,Florida,
Cacao Market,New York,New York,Maribel Lieberman
Cacao Prieto,New York,New York,Daniel Preston
Cacao Santa Fe,Santa Fe,New Mexico,"Melanie Boudar, Mark Sciscenti, Derek Lanter"
Cafe Cultiva,Naco,Arizona,Jessica and Jesse
Cao Chocolates,Miami,Florida,Ricardo Cao Trillos
Casa Chocolates,San Antonio,Texas,
Castronovo,Stuart,Florida,Denise Castronovo
Ceda,Edinburg,Texas,Eddie Benavidez
Cellar Door Chocolates,Louisville,Kentucky,Erika Chavez-Graziano
Cello,Nevada City,California,Ned and Debi Russell
Charm School,Baltimore,Maryland,Joshua Rosen
Chequessett,North Truro,Massachusetts,"Katherine Reed, Josiah Mayo"
ChiamMaya,Huntington,West Virginia,Walt Lewis
Chocofin,Fountain Hills,Arizona,Lou Mirabella
Chocol'ate,Old Bisbee,Arizona,Gordon Terpening
Chocolate Alchemist,Philadelphia,Pennsylvania,Robert Campbell
Chocolate Compromiso,St. Paul,Minnesota,Carrie Anderson
Chocolate Con Amor,Berryville,Virginia,Dan Lantonio
Chocolate Conspiracy,Salt Lake City,Utah,AJ Wentworth
Chocolate Spiel,Seattle,Washington,Angi Pleiderer
Chocolates by Josh (aka Box Chocolates),Boise,Idaho,Joshua Parker
Chocolibrium,Annapolis,Maryland,Snigda Kanchi
Chocotenango,Washington D.C.,Washington D.C.,Ismael Neggaz
Chocovivo,Culver City,California,Patricia Tsai
ChocXO,Irvine,California,Richard Foley
Chokola,Taos,New Mexico,Javier and Deborah Abad Etxaniz
Christophe Toury,New York,New York,Christophe Toury
Christopher Elbow,Kansas City,Missouri,Christopher Elbow
Cocanu,Portland,Oregon,Sebastian Cisneros
CocoAndre,Dallas,Texas,"Andrea Pedraza, Cindy Pedraza"
Cocoa Academic,Charleston,South Carolina,Bethany Nunn
Concetta's,North Scituate,Rhode Island,Lori Flynn
Condor,Athens,Georgia,Peter and Nick Dale
Confluence,Sacramento,California,Dave Huston
Conjure Craft Chocolate,Swannanoa Valley,North Carolina,Marjory Rockwell
Cosecha,Atlanta,Georgia,Katie Garstin
Creo,Portland,Oregon,Tim Straub
Crow & Moss,Petoskey,Michigan,Mike Davies
Cru,Sacramento,California,Karla McNeil-Rueda
Cultura Craft Chocolate,Denver,Colorado,"Matt Armstrong, Damaris (Graves) Ronkanen"
DAR,Denver,Colorado,Gila and Joel Dar
Dagoba,Ashland,Oregon,Hershey (formerly Frederick Schilling)
Dalloway,New York,New York,"Sara Sugar, Kelechi Anyanwu"
Dandelion,San Francisco,California,"Todd Masonis, Cameron Ring"
Dark Forest,Lancaster,New York,Joanne and Dan Sundell
Davin's,Marquette,Michigan,Davin Makela
Davis,Mishawaka,Indiana,Brent Davis
Dead Dog Chocolate aka Pomm,Denver,Colorado,"Damaris Graves, Katelyn Fox"
Deity Chocolate,Cody,Wyoming,Erin and Jake Robertson
Del Sol,Viroqua,Wisconsin,Lynn Kronschnabel
DeVries (closed),Denver,Colorado,Steve DeVries
Dick Taylor,Ascata,California,"Adam Dick, Dustin Taylor"
DNA,Chandler,Arizona,Denae Hostetler
Double Spiral,Ardentown,Delaware,Stuart and Mhairi Craig
Dripping Springs,Dripping Springs,Texas,Bob and Tracy
Dulcinea Craft Chocolate,Beaver,Pennsylvania,Laurie Rice
Durci,Wasatch Range,Utah,Eric Durtschi
Earth Dog Chocolate Foundry,Trenton,New Jersy,David Fiscarelli
Eldora Craft Chocolate,Albuquerque,New Mexico,Steve Prickett
Endorfin Foods,Oakland,California,Brian Wallace
Enna Chocolate,Exeter,New Hampshire,Enna Grazier
Escazu,Raleigh,North Carolina,Hallot Parson
Ethereal Confections,Woodstock,Illinois,"Mary Ervin, Sara Ervin"
Exquisito,Miami,Florida,Carolina Quijano
Finca,Logan,Ohio,Dan Hankle
Fine & Raw,New York,New York,Daniel Sklaar
Firefly,Sebastopol,California,Jonas Ketterle
Five Mile,Dallas,Texas,Shannon Neffendorf
