,Company,City,State,Owner/Maker
0,Match,Birmingham,Alabama,Kala Northrup
1,Wildland Chocolate,Anchorage,Alaska,Jimmy and Suzanne
2,Nutwhats,Chandler,Arizona,Lisa and Jim Rast
3,DNA,Chandler,Arizona,Denae Hostetler
4,Chocofin,Fountain Hills,Arizona,Lou Mirabella
5,Cafe Cultiva,Naco,Arizona,Jessica and Jesse
6,Chocol'ate,Old Bisbee,Arizona,Gordon Terpening
7,Brazen,Phoenix,Arizona,Case Coniglio
8,Stone Grindz,Scottsdale,Arizona,Kasey McCaslin
9,Zak's,Scottsdale,Arizona,Jim and Maureen Elitzak
10,Monsoon,Tucson,Arizona,Adam Krantz
11,Kyya aka Forgotten Chocolate,Elm Springs,Arkansas,Rick Boosey
12,Markham & Fitz aka Hello Cocoa,Fayetteville,Arkansas,"Lauren Blanco, Preston Stewart"
13,Izard,Little Rock,Arkansas,Nathaniel Izard
14,Dick Taylor,Ascata,California,"Adam Dick, Dustin Taylor"
15,Bisou,Berkeley,California,"Tracey Britton, Eli Curtis"
16,Guittard,Burlingame,California,Gary Guittard
17,Snake & Butterfly,Campbell,California,"Celeste Walker, James Hull"
18,PipeVine,Chico,California,Rusty Bogart
19,Armstrong Chocolate,Chico,California,Matt Armstrong
20,Michael Dunn,Concord,California,Michael Dunn
21,Chocovivo,Culver City,California,Patricia Tsai
22,Molucca,Fresno,California,"Yohanes Makmur, Radinal Latuconsina"
23,Raphio Chocolate,Fresno,California,Elisa and Yohanes Otavi-Makmur
24,Volo,Healdsburg,California,Jeff Mall
25,ChocXO,Irvine,California,Richard Foley
26,LetterPress,Los Angeles,California,David Menkes
27,Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich
28,Limited,Mountain View,California,Herbert Czymontek
29,Mayacama,Napa,California,Elena Sirignano
30,Cello,Nevada City,California,Ned and Debi Russell
31,Sacred,Novato,California,Steve Adler
32,Bittersweet Origins (closed),Oakland,California,Seneca Klassen
33,Endorfin Foods,Oakland,California,Brian Wallace
34,Oakland Chocolate Co.,Oakland,California,Nancy Nadel
35,Parliament,Redlands,California,Ryan Berk
36,Marsatta,Redondo Beach,California,Jeffray Gardner
37,Confluence,Sacramento,California,Dave Huston
38,Cru,Sacramento,California,Karla McNeil-Rueda
39,Nibble,San Diego,California,"David Mejia, Sandra Bedoya"
40,Dandelion,San Francisco,California,"Todd Masonis, Cameron Ring"
41,L'Amourette,San Francisco,California,Andre V. Lamourette
42,Scharffen Berger Special Maker (closed),San Francisco,California,Hershey
43,TCHO,San Francisco,California,Timothy Childs
44,Zac Squared,San Francisco,California,"Randy Zack, Zak Policzer"
45,9th and Larkin,San Francisco,California,Lan Phan
46,Marin Munchies,San Rafael,California,Katja Reitemeyer
47,twenty-four blackbirds,Santa Barbara,California,Mike Orlando
48,Mutari aka White Label Chocolate,Santa Cruz,California,"Katy Oursler, Stephen Beaumier"
49,Tiny House,Santa Cruz,California,
50,Firefly,Sebastopol,California,Jonas Ketterle
51,Mancali Craft Chocolate,Tustin,California,
52,ZenBunni,Venice,California,Zen and Bunni
53,Starchild,Willits,California,Ash and Brittany Maki
54,Fortuna,Boulder,Colorado,Aldo Ramirez Carrasco
55,Shanao Cacao,Boulder,Colorado,Michael Caines
56,Tchefuncte,Colorado Springs,Colorado,Tiffany and Richard Dull
57,Cultura Craft Chocolate,Denver,Colorado,"Matt Armstrong, Damaris (Graves) Ronkanen"
58,DAR,Denver,Colorado,Gila and Joel Dar
59,Dead Dog Chocolate aka Pomm,Denver,Colorado,"Damaris Graves, Katelyn Fox"
60,DeVries (closed),Denver,Colorado,Steve DeVries
61,WKND,Denver,Colorado,Hannah Morris
62,Animas,Durango,Colorado,Carley Snider
63,Beehive,Fort Collins,Colorado,Ian Horvath
64,Nuance,Fort Collins,Colorado,Toby and Alix Gadd
65,Plains to Peaks,Longmont,Colorado,Jeff and Sunni Sylvester
66,Gus Chocolate,Ouray,Colorado,Nathan Montgomery
67,Simpson & Vail,Brookfield,Connecticut,Jim and Joan Harron
